,Rank,Movie Title,Gross,Release,Distributor
450,451,Harry Potter and the Order of the Phoenix,"$19,410,000.00",8/11,China Film
451,452,P.K.,"$19,380,000.00",5/22,
452,453,Inferno,"$19,371,553.00",10/28,Sony
453,454,Ex Files,"$19,310,000.00",1/31,
454,455,Tomorrowland,"$19,240,000.00",5/28,
455,456,Fury (2014),"$19,180,000.00",11/21,China Film
456,457,Mr. Peabody & Sherman,"$19,130,000.00",3/28,China Film
457,458,Oolong Courtyard,"$19,077,816.00",8/17,
458,459,The Rooftop,"$18,990,000.00",7/11,China Film
459,460,Spider-Man 3,"$18,924,747.00",5/1,China Film
460,461,Father and Son,"$18,764,047.00",7/21,
461,462,Doraemon: Nobita's Chronicle of the Moon Exploration,"$18,729,290.00",6/1,
462,463,Yat ku chan dik mou lam (Kung Fu Jungle),"$18,710,000.00",10/31,
463,464,Hotel Transylvania 2,"$18,701,176.00",10/29,
464,465,The Divergent Series: Allegiant,"$18,676,215.00",5/20,Leeding
465,466,Suddenly Seventeen,"$18,581,123.00",12/9,
466,467,One Hundred Thousand Bad Jokes,"$18,550,000.00",12/31,
467,468,Ji Zhan (Unbeatable),"$18,540,000.00",8/16,
468,469,Peppa Celebrates Chinese New Year,"$18,521,815.00",2/5,
469,470,Detective Conan: Zero The Enforcer,"$18,483,569.00",11/9,
470,471,Airpocalypse,"$18,374,998.00",12/21,
471,472,The Transporter Refueled,"$18,344,558.00",11/19,
472,473,Big Baker's Unlucky Bear,"$18,330,043.00",1/13,
473,474,Turbo,"$18,140,000.00",9/18,China Film
474,475,The Divergent Series: Insurgent,"$18,039,876.00",6/19,China Film
475,476,Mr. Pride vs. Miss Prejudice,"$18,019,651.00",4/20,
476,477,Mr. Go,"$17,950,000.00",7/18,
477,478,The Wasted Times,"$17,875,409.00",12/16,
478,479,Resident Evil: Retribution,"$17,760,313.00",3/17,
479,480,Cook Up A Storm,"$17,658,952.00",2/10,
480,481,Always Miss You,"$17,551,421.00",5/1,
481,482,The Mummy: Tomb of the Dragon Emperor,"$17,450,787.00",9/5,
482,483,That Demon Within,"$17,430,000.00",4/18,China Film
483,484,Into The Storm,"$17,340,000.00",9/12,HuaXia
484,485,21 Karat,"$17,241,379.00",4/20,
485,486,Legend of the Naga Pearls,"$17,240,653.00",8/11,
486,487,"Si jie (Lust, Caution)","$17,109,185.00",11/1,China Film
487,488,Miss Peregrine's Home for Peculiar Children,"$17,017,610.00",12/2,
488,489,Natsume's Book of Friends The Movie: Tied to the Temporal World,"$17,004,368.00",3/7,
489,490,Emperor's Holidays,"$17,000,000.00",2/19,
490,491,Pirates of the Caribbean: At World's End,"$16,970,000.00",6/12,China Film
491,492,Integrity,"$16,863,262.00",2/5,
492,493,Nine Lives (2016),"$16,793,054.00",9/9,
493,494,Paddington,"$16,790,174.00",3/5,HuaXia
494,495,Heartfall Arises,"$16,748,620.00",10/20,
495,496,Mei Lanfang (Forever Enthralled),"$16,652,957.00",12/4,
496,497,Non-Stop,"$16,620,000.00",9/19,HuaXia
497,498,The Shape of Water,"$16,619,516.00",3/16,Fox
498,499,Alpha,"$16,604,429.00",9/7,
499,500,Baby Driver,"$16,576,214.00",8/25,Sony
500,501,The Wind Guardians,"$16,558,135.00",8/3,
501,502,Solo: A Star Wars Story,"$16,473,217.00",5/25,Disney
502,503,"Black Coal, Thin Ice","$16,460,000.00",3/21,
503,504,Durante la tormenta (Mirage),"$16,457,892.00",3/28,
504,505,Hold Your Hands,"$16,444,489.00",10/13,
505,506,Chappie,"$16,400,000.00",5/8,HuaXia
506,507,Temporary Family,"$16,310,000.00",8/21,China Film
507,508,The Huntsman Winter's War,"$16,280,125.00",4/22,
508,509,The Nutcracker and the Four Realms,"$16,238,604.00",11/2,Disney
509,510,Manhunt,"$16,116,172.00",11/24,
510,511,Mom (2017),"$16,082,564.00",5/10,
511,512,Seventy-Seven Days,"$15,988,889.00",11/3,
512,513,The Greatest Showman,"$15,929,849.00",2/1,Fox
513,514,Arrival,"$15,884,890.00",1/20,PPI
514,515,Guan lan (Kung Fu Dunk),"$15,883,165.00",2/8,Oriental
515,516,Seer Movie 6: Invincible Puni,"$15,874,097.00",8/18,
516,517,Silver Medalist,"$15,844,273.00",1/20,
517,518,Silver Medalist,"$15,844,273.00",1/20,
518,519,Silver Medalist,"$15,844,273.00",1/20,
519,520,Criminal (2016),"$15,772,274.00",5/13,
520,521,Pompeii,"$15,630,000.00",8/14,HuaXia
521,522,Eiga Doraemon: Shin Nobita no Nippon tanjou,"$15,588,278.00",7/22,HuaXia
522,523,One Piece Film Gold,"$15,584,811.00",11/11,
523,524,Everest (2015),"$15,446,746.00",11/3,
524,525,Paths of the Soul,"$15,409,276.00",6/20,
525,526,Boruto: Naruto the Movie,"$15,392,640.00",2/18,
526,527,Inside Out,"$15,314,000.00",10/6,Disney
527,528,Pixels,"$15,300,000.00",9/15,
528,529,The Shallows,"$15,291,870.00",9/9,Sony
529,530,Yugo & Lala IV,"$15,286,513.00",8/3,
530,531,Iron Man,"$15,274,332.00",4/30,China Film
531,532,Z Storm,"$15,220,000.00",8/16,
532,533,Northeast Past,"$15,208,575.00",2/3,
533,534,Hancock,"$15,093,944.00",7/2,
534,535,Jack Reacher,"$15,090,000.00",2/16,China Film
535,536,Three,"$14,968,027.00",6/24,
536,537,Yau lung hei fung (Look for a Star),"$14,938,886.00",1/26,
537,538,Yau lung hei fung (Look for a Star),"$14,938,886.00",1/26,
538,539,Yau lung hei fung (Look for a Star),"$14,938,886.00",1/26,
539,540,The One (2017),"$14,897,163.00",7/7,
540,541,The Game Changer,"$14,875,966.00",2/10,
541,542,Happiness is Coming,"$14,798,770.00",6/8,
542,543,Blood-Soaked Guangchang,"$14,651,659.00",8/1,
543,544,Sword Master (San Shao Ye De Jian),"$14,502,045.00",12/2,
544,545,Toilet: Ek Prem Katha,"$14,229,907.00",6/8,
545,546,Brotherhood of Blades,"$14,190,000.00",8/7,China Film
546,547,Shoplifters,"$14,097,096.00",8/3,
547,548,Bohemian Rhapsody,"$13,980,037.00",3/22,
548,549,The Missing (Bang jia zhe),"$13,887,720.00",3/31,
549,550,The Golden Monk,"$13,867,066.00",11/17,
550,551,The Walk,"$13,773,172.00",1/22,
551,552,Meet the Pegusus,"$13,760,000.00",1/16,
552,553,Ip Man,"$13,728,640.00",12/12,
553,554,Love Will Tear Us Apart,"$13,690,000.00",10/12,
554,555,The Hurricane Heist,"$13,655,054.00",11/2,
555,556,Phantom of the Theatre,"$13,482,888.00",4/29,
556,557,Escape Plan 2,"$13,396,152.00",6/29,
557,558,Zheng Rong Ri Ji,"$13,380,000.00",4/4,
558,559,New Happy Dad and Son 2: The Instant Genius,"$13,375,370.00",8/19,China Film
559,560,The Great Gatsby (2013),"$13,340,000.00",8/30,China Film
560,561,Hercules (2014),"$13,170,000.00",10/21,China Film
561,562,Bunshinsaba 2,"$13,140,000.00",7/16,China Film
